_input,_num,_widgetName,_source,_resultNumber,_pageUrl,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list
,1,Inc5000 Company List,Inc5000 Company List,1,http://www.inc.com/inc5000list/json/inc5000_2014.json,22890,1,227,Fuhu,fuhu,California,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,2
,2,Inc5000 Company List,Inc5000 Company List,2,http://www.inc.com/inc5000list/json/inc5000_2014.json,25747,2,191,Quest Nutrition,quest-nutrition,California,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,1
,3,Inc5000 Company List,Inc5000 Company List,3,http://www.inc.com/inc5000list/json/inc5000_2014.json,25643,3,145,Reliant Asset Management,reliant-asset-management,Virginia,VA,Arlington,Washington DC,55460.1646,85076502,Business Products & Services,1
,4,Inc5000 Company List,Inc5000 Company List,4,http://www.inc.com/inc5000list/json/inc5000_2014.json,26098,4,62,Superfish,superfish,California,CA,Palo Alto,San Jose,26042.963,35293000,Software,1
,5,Inc5000 Company List,Inc5000 Company List,5,http://www.inc.com/inc5000list/json/inc5000_2014.json,26182,5,92,Acacia Communications,acacia-communications,Massachusetts,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,1
,6,Inc5000 Company List,Inc5000 Company List,6,http://www.inc.com/inc5000list/json/inc5000_2014.json,22913,6,50,Provider Power,provider-power,Maine,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203,Energy,2
,7,Inc5000 Company List,Inc5000 Company List,7,http://www.inc.com/inc5000list/json/inc5000_2014.json,22937,7,129,Crescendo Bioscience,crescendo-bioscience,California,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,2
,8,Inc5000 Company List,Inc5000 Company List,8,http://www.inc.com/inc5000list/json/inc5000_2014.json,25413,8,130,Plexus Worldwide,plexus-worldwide,Arizona,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,1
,9,Inc5000 Company List,Inc5000 Company List,9,http://www.inc.com/inc5000list/json/inc5000_2014.json,26079,9,264,Vacasa,vacasa,Oregon,OR,Portland,Portland OR,16192.061,26263454,Travel & Hospitality,1
,10,Inc5000 Company List,Inc5000 Company List,10,http://www.inc.com/inc5000list/json/inc5000_2014.json,25861,10,11,Go Energies,go-energies,North Carolina,NC,Wilmington,Wilmington NC,16006.8013,32851754,Energy,1
,11,Inc5000 Company List,Inc5000 Company List,11,http://www.inc.com/inc5000list/json/inc5000_2014.json,25231,11,113,Minute Key,minute-key,Colorado,CO,Boulder,Boulder CO,14588.3448,15782039,Consumer Products & Services,1
,12,Inc5000 Company List,Inc5000 Company List,12,http://www.inc.com/inc5000list/json/inc5000_2014.json,26450,12,135,Sainstore,sainstore,Kansas,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863,Business Products & Services,1
,13,Inc5000 Company List,Inc5000 Company List,13,http://www.inc.com/inc5000list/json/inc5000_2014.json,22892,13,153,The HCI Group,the-hci-group,Florida,FL,Jacksonville,Jacksonville FL,13230.9467,34583142,Health,2
