Player,DOB,Cumulative Weeks,Date,Sex,Weeks,Age (days),Age (years),(Age)/365.25
Ilie Nastase,7/19/1946,40,8/23/1973,Male,40,9897,27,27.09650924
John Newcombe,5/23/1944,8,6/3/1974,Male,8,10968,30,30.028747433
Jimmy Connors,9/2/1952,160,7/29/1974,Male,160,8000,21,21.902806297
Björn Borg,6/6/1956,1,8/23/1977,Male,1,7748,21,21.212867899
Jimmy Connors,9/2/1952,244,8/30/1977,Male,84,9128,24,24.991101985
Björn Borg,6/6/1956,7,4/9/1979,Male,6,8342,22,22.839151266
Jimmy Connors,9/2/1952,251,5/21/1979,Male,7,9757,26,26.71321013
Björn Borg,6/6/1956,41,7/9/1979,Male,34,8433,23,23.088295688
John McEnroe,2/16/1959,3,3/3/1980,Male,3,7686,21,21.04312115
Björn Borg,6/6/1956,61,3/24/1980,Male,20,8692,23,23.797399042
John McEnroe,2/16/1959,4,8/11/1980,Male,1,7847,21,21.483915127
Björn Borg,6/6/1956,107,8/18/1980,Male,46,8839,24,24.199863107
John McEnroe,2/16/1959,6,7/6/1981,Male,2,8176,22,22.384668036
Björn Borg,6/6/1956,109,7/20/1981,Male,2,9175,25,25.119780972
John McEnroe,2/16/1959,64,8/3/1981,Male,58,8204,22,22.461327858
Jimmy Connors,9/2/1952,258,9/13/1982,Male,7,10968,30,30.028747433
John McEnroe,2/16/1959,65,11/1/1982,Male,1,8659,23,23.707049966
Jimmy Connors,9/2/1952,259,11/8/1982,Male,1,11024,30,30.182067077
John McEnroe,2/16/1959,76,11/15/1982,Male,11,8673,23,23.745379877
Jimmy Connors,9/2/1952,260,1/31/1983,Male,1,11108,30,30.412046543
John McEnroe,2/16/1959,77,2/7/1983,Male,1,8757,23,23.975359343
Jimmy Connors,9/2/1952,262,2/14/1983,Male,2,11122,30,30.450376454
Ivan Lendl,3/7/1960,11,2/28/1983,Male,11,8393,22,22.978781656
Jimmy Connors,9/2/1952,265,5/16/1983,Male,3,11213,30,30.699520876
John McEnroe,2/16/1959,78,6/6/1983,Male,1,8876,24,24.301163587
Jimmy Connors,9/2/1952,268,6/13/1983,Male,3,11241,30,30.776180698
John McEnroe,2/16/1959,95,7/4/1983,Male,17,8904,24,24.377823409
Ivan Lendl,3/7/1960,17,10/31/1983,Male,6,8638,23,23.649555099
John McEnroe,2/16/1959,99,12/12/1983,Male,4,9065,24,24.818617385
Ivan Lendl,3/7/1960,26,1/9/1984,Male,9,8708,23,23.841204654
John McEnroe,2/16/1959,112,3/12/1984,Male,13,9156,25,25.067761807
Ivan Lendl,3/7/1960,27,6/11/1984,Male,1,8862,24,24.262833676
John McEnroe,2/16/1959,115,6/18/1984,Male,3,9254,25,25.336071184
Ivan Lendl,3/7/1960,32,7/9/1984,Male,5,8890,24,24.339493498
John McEnroe,2/16/1959,168,8/13/1984,Male,53,9310,25,25.489390828
Ivan Lendl,3/7/1960,33,8/19/1985,Male,1,9296,25,25.451060917
John McEnroe,2/16/1959,170,8/26/1985,Male,2,9688,26,26.524298426
Ivan Lendl,3/7/1960,190,9/9/1985,Male,157,9317,25,25.508555784
Mats Wilander,8/22/1964,20,9/12/1988,Male,20,8787,24,24.057494867
Ivan Lendl,3/7/1960,270,1/30/1989,Male,80,10556,28,28.900752909
Stefan Edberg,1/19/1966,24,8/13/1990,Male,24,8972,24,24.563997262
