Gender,Champion,Mins,Runner-up Nationality,Champion Nationality,Runner-up,Score,Runner-up Seed,Champion Seed,Year,Runner-up Nationality (Men's),Runner-Up
Men's,G.L. Patterson,,AUS,AUS,N.E. Brookes,"6-3, 7-5, 6-2",,,1919,,
Men's,G.L. Patterson,,GBR,AUS,R. Lycett,"6-3, 6-4, 6-2",,,1922,,
Men's,N.E. Brookes,,GBR,AUS,A.W. Gore,"6-4, 6-2, 6-2",,,1907,,
Men's,N.E. Brookes,,NZL,AUS,A.F. Wilding,"6-4, 6-4, 7-5",,,1914,,
Men's,J.R. Borotra,80,FRA,FRA,J.R. Lacoste,"6-1, 3-6, 6-1, 3-6, 6-4",,,1924,,
Men's,J.R. Lacoste,,FRA,FRA,J.R. Borotra,"6-3, 6-3, 4-6, 8-6",,,1925,,
Men's,J.R. Borotra,65,USA,FRA,H.O. Kinsey,"8-6, 6-1, 6-3",,,1926,,
Men's,H.L. Doherty,65,AUS,GBR,N.E. Brookes,"8-6, 6-2, 6-4",,,1905,,
Men's,A.W. Gore,,GBR,GBR,H.R. Barrett,"6-3, 6-2, 4-6, 3-6, 6-4",,,1908,,
Men's,A.W. Gore,95,GBR,GBR,M.J.G. Ritchie,"6-8, 1-6, 6-2, 6-2, 6-2",,,1909,,
Men's,A.W. Gore,95,GBR,GBR,R.F. Doherty,"4-6, 7-5, 6-4, 6-4",,,1901,,
Men's,H.F. Lawford,120,GBR,GBR,J.E. Renshaw,"1-6, 6-3, 3-6, 6-4, 6-4",,,1887,,
Men's,H.L. Doherty,84,GBR,GBR,A.W. Gore,"6-4, 6-3, 3-6, 6-0",,,1902,,
Men's,H.L. Doherty,,GBR,GBR,F.L. Riseley,"6-1, 7-5, 8-6",,,1904,,
Men's,H.L. Doherty,74,GBR,GBR,F.L. Riseley,"6-4, 4-6, 6-2, 6-3",,,1906,,
Men's,H.L. Doherty,,GBR,GBR,F.L. Riseley,"7-5, 6-3, 6-0",,,1903,,
Men's,H.S. Mahony,120,GBR,GBR,W. Baddeley,"6-2, 6-8, 5-7, 8-6, 6-3",,,1896,,
Men's,J. Pim,117,GBR,GBR,W. Baddeley,"10-8, 6-2, 8-6",,,1894,,
Men's,J. Pim,65,GBR,GBR,W. Baddeley,"3-6, 6-1, 6-3, 6-2",,,1893,,
Men's,J.E. Renshaw,51,GBR,GBR,H.F. Lawford,"6-3, 7-5, 6-0",,,1888,,
Men's,J.T. Hartley,,GBR,GBR,H.F. Lawford,"6-3, 6-2, 2-6, 6-3",,,1880,,
Men's,J.T. Hartley,,GBR,GBR,V.T.St.L. Goold,"6-2, 6-4, 6-2",,,1879,,
Men's,P.F. Hadow,,GBR,GBR,S.W. Gore,"7-5, 6-1, 9-7",,,1878,,
Men's,R.F. Doherty,,GBR,GBR,A.W. Gore,"1-6, 4-6, 6-3, 6-3, 6-3",,,1899,,
Men's,R.F. Doherty,55,GBR,GBR,H.L. Doherty,"6-3, 6-3, 2-6, 5-7, 6-1",,,1898,,
Men's,R.F. Doherty,67,GBR,GBR,H.S. Mahony,"6-4, 6-4, 6-3",,,1897,,
Men's,R.F. Doherty,,GBR,GBR,S.H. Smith,"6-8, 6-3, 6-1, 6-2",,,1900,,
Men's,S.W. Gore,48,GBR,GBR,W.C. Marshall,"6-1, 6-2, 6-4",,,1877,,
Men's,W. Baddeley,75,GBR,GBR,J. Pim,"4-6, 6-3, 6-3, 6-2",,,1892,,
Men's,W. Baddeley,,GBR,GBR,J.Pim,"6-4, 1-6, 7-5, 6-0",,,1891,,
Men's,W. Baddeley,95,GBR,GBR,W.V. Eaves,"4-6, 2-6, 8-6, 6-2, 6-3",,,1895,,
Men's,W.C. Renshaw,96,GBR,GBR,H.F. Lawford,"6-0, 5-7, 6-3, 6-4",,,1886,,
Men's,W.C. Renshaw,69,GBR,GBR,H.F. Lawford,"6-0, 6-4, 9-7",,,1884,,
Men's,W.C. Renshaw,122,GBR,GBR,H.F. Lawford,"7-5, 6-2, 4-6, 7-5",,,1885,,
Men's,W.C. Renshaw,89,GBR,GBR,J.E. Renshaw,"2-6, 6-3, 6-3, 4-6, 6-3",,,1883,,
Men's,W.C. Renshaw,85,GBR,GBR,J.E. Renshaw,"6-1, 2-6, 4-6, 6-2, 6-2",,,1882,,
Men's,W.C. Renshaw,63,GBR,GBR,J.E. Renshaw,"6-4, 6-1, 3-6, 6-0",,,1889,,
Men's,W.C. Renshaw,37,GBR,GBR,J.T. Hartley,"6-0, 6-1, 6-1",,,1881,,
Men's,W.J. Hamilton,96,GBR,GBR,W.C. Renshaw,"6-8, 6-2, 3-6, 6-1, 6-1",,,1890,,
Men's,A.F. Wilding,,GBR,NZL,A.W. Gore,"6-4, 6-4, 4-6, 6-4",,,1912,,
Men's,A.F. Wilding,,GBR,NZL,A.W. Gore,"6-4, 7-5, 4-6, 6-2",,,1910,,
Men's,A.F. Wilding,,GBR,NZL,H.R. Barrett,"6-4, 4-6, 2-6, 6-2, retd",,,1911,,
Men's,A.F. Wilding,,USA,NZL,M.E. McLoughlin,"8-6, 6-3, 10-8",,,1913,,
Men's,W.T. Tilden,,AUS,USA,G.L. Patterson,"2-6, 6-3, 6-2, 6-4",,,1920,,
Men's,W.T. Tilden,,RSA,USA,B.I.C. Norton,"4-6, 2-6, 6-1, 6-0, 7-5",,,1921,,
Men's,W. M. Johnston,46,USA,USA,F.T. Hunter,"6-0, 6-3, 6-1",,,1923,,
Men's,R.G. Laver,60,AUS,AUS,A.D. Roche,"6-3, 6-4, 6-2",15,1,1968,,
Men's,L.A. Hoad,57,AUS,AUS,A.J. Cooper,"6-2, 6-1, 6-2",2,1,1957,,
Men's,L.A. Hoad,117,AUS,AUS,K.R. Rosewall,"6-2, 4-6, 7-5, 6-4",2,1,1956,,
Men's,R.S. Emerson,67,AUS,AUS,F.S. Stolle,"6-2, 6-4, 6-4",2,1,1965,,
Men's,F.A. Sedgman,80,CZE,AUS,J. Drobny,"4-6, 6-2, 6-3, 6-2",2,1,1952,,
Men's,L.G. Hewitt,116,ARG,AUS,D.P. Nalbandian,"6-1, 6-3, 6-2",28,1,2002,,
Men's,N.A. Fraser,130,AUS,AUS,R.G. Laver,"6-4, 3-6, 9-7, 7-5",3,1,1960,,
Men's,A.J. Cooper,130,AUS,AUS,N.A. Fraser,"3-6, 6-3, 6-4, 13-11",4,1,1958,,
Men's,R.G. Laver,136,AUS,AUS,J.D. Newcombe,"6-4, 5-7, 6-4, 6-4",6,1,1969,,
Men's,R.S. Emerson,127,AUS,AUS,F.S. Stolle,"6-4, 12-10, 4-6, 6-3",6,1,1964,,
Men's,R.G. Laver,51,AUS,AUS,M.F. Mulligan,"6-2, 6-2, 6-1",U,1,1962,,
Men's,H.J. Cochet,60,FRA,FRA,J.R. Borotra,"6-4, 6-3, 6-4",2,1,1929,,
Men's,F.J. Perry,40,GER,GBR,G. von Cramm,"6-1, 6-1, 6-0",2,1,1936,,
Men's,F.J. Perry,80,GER,GBR,G. von Cramm,"6-2, 6-4, 6-4",2,1,1935,,
Men's,N. Djokovic,176,SUI,SRB,R. Federer,"7-6, 6-7, 6-4, 6-3",2,1,2015,,
Men's,N. Djokovic,236,SUI,SRB,R. Federer,"6-7, 6-4, 7-64, 5-7, 6-4",4,1,2014,,
Men's,R. Federer,170,ESP,SUI,R. Nadal,"6-0, 7-6 (7-5), 6-7 (2-7), 6-3",2,1,2006,,
Men's,R. Federer,225,ESP,SUI,R. Nadal,"7-6 (9-7), 4-6, 7-6 (7-3), 2-6, 6-2",2,1,2007,,
Men's,R. Federer,151,USA,SUI,A. Roddick,"4-6, 7-5, 7-6 (7-3), 6-4",2,1,2004,,
Men's,R. Federer,101,USA,SUI,A. Roddick,"6-2, 7-6 (7-2), 6-4",2,1,2005,,
Men's,B.R. Borg,233,USA,SWE,J.P. McEnroe,"1-6, 7-5, 6-3, 6-7 (16-18), 8-6",2,1,1980,,
Men's,B.R. Borg,108,USA,SWE,J.S. Connors,"6-2, 6-2, 6-3",2,1,1978,,
Men's,B.R. Borg,169,USA,SWE,R. Tanner,"6-7(4-7), 6-1, 3-6, 6-3, 6-4",5,1,1979,,
Men's,P. Sampras,182,AUS,USA,P.M. Rafter,"6-7 (10-12), 7-6 (7-5), 6-4, 6-2",12,1,2000,,
Men's,P. Sampras,172,CRO,USA,G.S. Ivanisevic,"6-7 (2-7), 7-6 (11-9), 6-4, 3-6, 6-2",14,1,1998,,
Men's,J.D. Budge,59,GBR,USA,H.W. Austin,"6-1, 6-0, 6-3",2,1,1938,,
Men's,J.D. Budge,65,GER,USA,G. von Cramm,"6-3, 6-4, 6-2",2,1,1937,,
Men's,S.R. Smith,161,ROM,USA,I. Nastase,"4-6, 6-3, 6-3, 4-6, 7-5",2,1,1972,,
Men's,J.A. Kramer,45,USA,USA,T.P. Brown,"6-1, 6-3, 6-2",3,1,1947,,
Men's,J.P. McEnroe,80,USA,USA,J.S. Connors,"6-1, 6-1, 6-2",3,1,1984,,
Men's,P. Sampras,178,USA,USA,J.S. Courier,"7-6 (7-3), 7-6 (8-6), 3-6, 6-3",3,1,1993,,
Men's,P. Sampras,115,CRO,USA,G.S. Ivanisevic,"7-6 (7-2), 7-6 (7-5), 6-0",4,1,1994,,
Men's,P. Sampras,115,USA,USA,A.K. Agassi,"6-3, 6-4, 7-5",4,1,1999,,
Men's,F.R. Schroeder,100,CZE,USA,J. Drobny,"3-6, 6-0, 6-3, 4-6, 6-4",6,1,1949,,
Men's,A.R. Olmedo,71,AUS,USA,R.G. Laver,"6-4, 6-3, 6-4",U,1,1959,,
Men's,M.A. Trabert,73,DEN,USA,K. Nielsen,"6-3, 7-5, 6-1",U,1,1955,,
Men's,P. Sampras,94,FRA,USA,C.A. Pioline,"6-4, 6-2, 6-4",U,1,1997,,
Men's,P.H. Cash,165,TCH,AUS,I. Lendl,"7-6 (7-5), 6-2, 7-5",2,11,1987,,
Men's,J. Drobny,157,AUS,CZE,K.R. Rosewall,"13-11, 4-6, 6-2, 9-7",3,11,1954,,
Men's,A.K. Agassi,170,CRO,USA,G.S. Ivanisevic,"6-7 (8-10), 6-4, 6-4, 1-6, 6-4",8,12,1992,,
Men's,J.H. Crawford,120,USA,AUS,H.E. Vines,"4-6, 11-9, 6-2, 2-6, 6-4",1,2,1933,,
Men's,J.D. Newcombe,170,USA,AUS,S.R. Smith,"6-3, 5-7, 2-6, 6-4, 6-4",4,2,1971,,
Men's,J.D. Newcombe,163,AUS,AUS,K.R. Rosewall,"5-7, 6-3, 6-2, 3-6, 6-1",5,2,1970,,
Men's,R.G. Laver,55,USA,AUS,C.R. McKinley,"6-3, 6-1, 6-4",8,2,1961,,
Men's,J. Kodes,110,URS,CZE,A. Metreveli,"6-1, 9-8(7-5), 6-3",4,2,1973,,
Men's,R. Nadal,288,SUI,ESP,R. Federer,"6-4, 6-4, 6-7 (5-7), 6-7 (8-10), 9-7",1,2,2008,,
Men's,R. Nadal,133,CZ,ESP,T. Berdych,"6-3, 7-5, 6-4",12,2,2010,,
Men's,J.R. Lacoste,,FRA,FRA,H.J. Cochet,"6-1, 4-6, 6-4, 6-2",1,2,1928,,
Men's,F.J. Perry,72,AUS,GBR,J.H. Crawford,"6-3, 6-0, 7-5",1,2,1934,,
Men's,A. Murray,134,SRB,GBR,N. Djokovic,"6-4, 7-5, 6-4",1,2,2013,,
Men's,A. Murray,170,CND,GBR,M. Raonic,"6-4, 7-6, 7-6",6,2,2016,,
Men's,N. Djokovic,148,ESP,SRB,R. Nadal,6-4 6-1 1-6 6-3,1,2,2011,,
Men's,R. Federer,256,USA,SUI,A. Roddick,"5-7, 7-6 (8-6), 7-6 (7-5), 3-6, 16-14",6,2,2009,,
Men's,B.R. Borg,194,USA,SWE,J.S. Connors,"3-6, 6-2, 6-1, 5-7, 6-4",1,2,1977,,
Men's,J.P. McEnroe,202,SWE,USA,B.R. Borg,"4-6, 7-6 (7-1), 7-6 (7-4), 6-4",1,2,1981,,
Men's,J.S. Connors,256,USA,USA,J.P. McEnroe,"3-6, 6-3, 6-7 (2-7), 7-6 (7-5), 6-4",1,2,1982,,
Men's,P. Sampras,149,GER,USA,B.F. Becker,"6-7 (5-7), 6-2, 6-4, 6-2",3,2,1995,,
Men's,H.E.Vines,50,GBR,USA,H.W. Austin,"6-2, 6-2, 6-0",6,2,1932,,
Men's,R.L. Riggs,135,USA,USA,E.T. Cooke,"2-6, 8-6, 3-6, 6-3, 6-2",6,2,1939,,
Men's,E.V. Seixas,80,DEN,USA,K. Nielsen,"9-7, 6-3, 6-4",U,2,1953,,
Men's,J.P. McEnroe,85,NZL,USA,C.J. Lewis,"6-2, 6-2, 6-2",U,2,1983,,
Men's,W.T. Tilden,70,USA,USA,W.L. Allison,"6-3, 9-7, 6-4",U,2,1930,,
